protocol_id,preprocessing_protocol,trace_protocol,kernel_normalization,seed,q,model,model_f1,baseline_f1,baseline,delta_f1
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,2,6,qsvm,0.7567567567567568,0.7272727272727273,rbf_tuned,0.029484029484029506
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,3,6,qsvm,0.6896551724137931,0.6956521739130435,rbf_tuned,-0.0059970014992503096
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,4,6,qsvm,0.7567567567567568,0.8387096774193549,rbf_tuned,-0.08195292066259807
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,5,6,qsvm,0.8148148148148148,0.88,rbf_tuned,-0.06518518518518523
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,6,6,qsvm,0.96,0.96,rbf_tuned,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,7,6,qsvm,0.8181818181818182,0.7368421052631579,rbf_tuned,0.08133971291866038
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,8,6,qsvm,0.8571428571428571,0.7272727272727273,rbf_tuned,0.1298701298701298
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,9,6,qsvm,0.8461538461538461,0.9090909090909092,rbf_tuned,-0.06293706293706303
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,0,4,merlin_fidelity,0.0,0.8695652173913043,linear_c1,-0.8695652173913043
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,1,4,merlin_fidelity,0.0,0.8,linear_c1,-0.8
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,2,4,merlin_fidelity,0.0,0.6896551724137931,linear_c1,-0.6896551724137931
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,3,4,merlin_fidelity,0.0,0.6363636363636364,linear_c1,-0.6363636363636364
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,4,4,merlin_fidelity,0.0,0.7857142857142857,linear_c1,-0.7857142857142857
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,5,4,merlin_fidelity,0.0,0.8461538461538461,linear_c1,-0.8461538461538461
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,6,4,merlin_fidelity,0.0,0.8181818181818182,linear_c1,-0.8181818181818182
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,7,4,merlin_fidelity,0.0,0.7058823529411765,linear_c1,-0.7058823529411765
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,8,4,merlin_fidelity,0.0,0.6666666666666666,linear_c1,-0.6666666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,9,4,merlin_fidelity,0.0,0.7619047619047619,linear_c1,-0.7619047619047619
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,0,4,merlin_fidelity,0.0,0.8181818181818182,rbf_tuned,-0.8181818181818182
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,1,4,merlin_fidelity,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,2,4,merlin_fidelity,0.0,0.75,rbf_tuned,-0.75
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,3,4,merlin_fidelity,0.0,0.6666666666666666,rbf_tuned,-0.6666666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,4,4,merlin_fidelity,0.0,0.72,rbf_tuned,-0.72
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,5,4,merlin_fidelity,0.0,0.9166666666666666,rbf_tuned,-0.9166666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,6,4,merlin_fidelity,0.0,0.8181818181818182,rbf_tuned,-0.8181818181818182
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,7,4,merlin_fidelity,0.0,0.5,rbf_tuned,-0.5
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,8,4,merlin_fidelity,0.0,0.6956521739130435,rbf_tuned,-0.6956521739130435
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,9,4,merlin_fidelity,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,0,4,qsvm,0.0,0.8695652173913043,linear_c1,-0.8695652173913043
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,1,4,qsvm,0.0,0.8,linear_c1,-0.8
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,2,4,qsvm,0.0,0.6896551724137931,linear_c1,-0.6896551724137931
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,3,4,qsvm,0.0,0.6363636363636364,linear_c1,-0.6363636363636364
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,4,4,qsvm,0.0,0.7857142857142857,linear_c1,-0.7857142857142857
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,5,4,qsvm,0.0,0.8461538461538461,linear_c1,-0.8461538461538461
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,6,4,qsvm,0.0,0.8181818181818182,linear_c1,-0.8181818181818182
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,7,4,qsvm,0.0,0.7058823529411765,linear_c1,-0.7058823529411765
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,8,4,qsvm,0.0,0.6666666666666666,linear_c1,-0.6666666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,9,4,qsvm,0.0,0.7619047619047619,linear_c1,-0.7619047619047619
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,0,4,qsvm,0.0,0.8181818181818182,rbf_tuned,-0.8181818181818182
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,1,4,qsvm,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,2,4,qsvm,0.0,0.75,rbf_tuned,-0.75
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,3,4,qsvm,0.0,0.6666666666666666,rbf_tuned,-0.6666666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,4,4,qsvm,0.0,0.72,rbf_tuned,-0.72
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,5,4,qsvm,0.0,0.9166666666666666,rbf_tuned,-0.9166666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,6,4,qsvm,0.0,0.8181818181818182,rbf_tuned,-0.8181818181818182
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,7,4,qsvm,0.0,0.5,rbf_tuned,-0.5
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,8,4,qsvm,0.0,0.6956521739130435,rbf_tuned,-0.6956521739130435
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,9,4,qsvm,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,0,6,merlin_fidelity,0.0,0.8695652173913043,linear_c1,-0.8695652173913043
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,1,6,merlin_fidelity,0.0,0.7692307692307693,linear_c1,-0.7692307692307693
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,2,6,merlin_fidelity,0.0,0.7142857142857143,linear_c1,-0.7142857142857143
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,3,6,merlin_fidelity,0.0,0.7619047619047619,linear_c1,-0.7619047619047619
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,4,6,merlin_fidelity,0.0,0.8275862068965517,linear_c1,-0.8275862068965517
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,5,6,merlin_fidelity,0.0,0.88,linear_c1,-0.88
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,6,6,merlin_fidelity,0.0,0.9166666666666666,linear_c1,-0.9166666666666666
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,7,6,merlin_fidelity,0.0,0.5882352941176471,linear_c1,-0.5882352941176471
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,8,6,merlin_fidelity,0.0,0.75,linear_c1,-0.75
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,9,6,merlin_fidelity,0.0,0.782608695652174,linear_c1,-0.782608695652174
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,0,6,merlin_fidelity,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,1,6,merlin_fidelity,0.0,0.8571428571428571,rbf_tuned,-0.8571428571428571
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,2,6,merlin_fidelity,0.0,0.7272727272727273,rbf_tuned,-0.7272727272727273
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,3,6,merlin_fidelity,0.0,0.6956521739130435,rbf_tuned,-0.6956521739130435
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,4,6,merlin_fidelity,0.0,0.8387096774193549,rbf_tuned,-0.8387096774193549
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,5,6,merlin_fidelity,0.0,0.88,rbf_tuned,-0.88
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,6,6,merlin_fidelity,0.0,0.96,rbf_tuned,-0.96
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,7,6,merlin_fidelity,0.0,0.7368421052631579,rbf_tuned,-0.7368421052631579
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,8,6,merlin_fidelity,0.0,0.7272727272727273,rbf_tuned,-0.7272727272727273
legacy_leak__train_trace,legacy_train_plus_heldout,,train_trace,9,6,merlin_fidelity,0.0,0.9090909090909092,rbf_tuned,-0.9090909090909092
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,0,6,qsvm,0.0,0.8695652173913043,linear_c1,-0.8695652173913043
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,1,6,qsvm,0.0,0.7692307692307693,linear_c1,-0.7692307692307693
legacy_leak__train_trace,legacy_train_plus_heldout,train_trace,,2,6,qsvm,0.0,0.7142857142857143,linear_c1,-0.7142857142857143
